,Probe_ID,statistic,pvalue,adj_p_value
298,205342_s_at,0.159652106,8.75E-01,1.00E+00
466,207457_s_at,0.151633907,8.82E-01,1.00E+00
939,223949_at,0.144070094,8.88E-01,1.00E+00
866,221133_s_at,0.133492683,8.96E-01,1.00E+00
1371,237737_at,0.128736054,8.99E-01,1.00E+00
25,1554411_at,0.128009723,9.00E-01,1.00E+00
1355,236694_at,0.115319557,9.09E-01,1.00E+00
589,211470_s_at,0.113485525,9.11E-01,1.00E+00
921,223565_at,0.113277621,9.11E-01,1.00E+00
533,209937_at,0.110770374,9.13E-01,1.00E+00
676,214023_x_at,0.105450306,9.17E-01,1.00E+00
927,223645_s_at,0.09750027,9.23E-01,1.00E+00
950,224367_at,0.092589931,9.27E-01,1.00E+00
202,204409_s_at,0.092559941,9.27E-01,1.00E+00
865,221132_at,0.075116432,9.41E-01,1.00E+00
758,217143_s_at,0.074941624,9.41E-01,1.00E+00
891,222257_s_at,0.060841168,9.52E-01,1.00E+00
1251,232068_s_at,0.048637466,9.62E-01,1.00E+00
268,205048_s_at,0.032399539,9.75E-01,1.00E+00
227,204653_at,0.025324566,9.80E-01,1.00E+00
875,221690_s_at,0.024523193,9.81E-01,1.00E+00
1095,228010_at,0.024185985,9.81E-01,1.00E+00
934,223761_at,0.009439108,9.93E-01,1.00E+00
991,226145_s_at,-0.009577801,9.92E-01,1.00E+00
1028,226913_s_at,-0.011487209,9.91E-01,1.00E+00
1402,239579_at,-0.043448396,9.66E-01,1.00E+00
181,204105_s_at,-0.04560164,9.64E-01,1.00E+00
1221,230760_at,-0.045896883,9.64E-01,1.00E+00
1262,232321_at,-0.047843275,9.62E-01,1.00E+00
634,213172_at,-0.065466456,9.49E-01,1.00E+00
1271,232578_at,-0.085736761,9.33E-01,1.00E+00
827,219962_at,-0.110930925,9.13E-01,1.00E+00
821,219926_at,-0.116160038,9.09E-01,1.00E+00
764,217546_at,-0.120377997,9.05E-01,1.00E+00
44,1555867_at,-0.132772877,8.96E-01,1.00E+00
464,207412_x_at,-0.136326769,8.94E-01,1.00E+00
1308,235201_at,-0.137645861,8.92E-01,1.00E+00
361,205910_s_at,-0.150315166,8.83E-01,1.00E+00
156,203815_at,-0.154636752,8.79E-01,1.00E+00
399,206224_at,-0.16173897,8.73E-01,1.00E+00
109,202286_s_at,-0.175489538,8.63E-01,1.00E+00
714,215014_at,-0.180498433,8.59E-01,1.00E+00
681,214131_at,-0.189212398,8.52E-01,1.00E+00
565,210397_at,-0.192096004,8.50E-01,1.00E+00
1364,237086_at,-0.20489656,8.41E-01,1.00E+00
703,214768_x_at,-0.208417824,8.37E-01,1.00E+00
1005,226492_at,-0.219715559,8.28E-01,1.00E+00
504,209480_at,-0.231409188,8.21E-01,1.00E+00
518,209735_at,-0.242535218,8.11E-01,1.00E+00
267,205044_at,-0.255593002,8.03E-01,1.00E+00
73,1564220_a_at,-0.255660328,8.02E-01,1.00E+00
1058,227474_at,-0.257004093,8.00E-01,1.00E+00
