"","Gene","statistic","pvalue","adj_p_value"
"210","1552610_a_at","-1.606625e+00","1.234278e-01","1.000000e+00"
"211","1552611_a_at","-1.126332e+00","2.759863e-01","1.000000e+00"
"212","1552612_at"," 1.434457e+00","1.637683e-01","1.000000e+00"
"213","1552613_s_at"," 1.833058e+00","8.335494e-02","1.000000e+00"
"214","1552615_at"," 3.341022e-01","7.449370e-01","1.000000e+00"
"215","1552616_a_at"," 3.977948e-01","6.965407e-01","1.000000e+00"
"216","1552617_a_at"," 2.378505e+00","2.995202e-02","1.000000e+00"
"217","1552619_a_at"," 8.793458e-01","3.893472e-01","1.000000e+00"
"218","1552621_at","-8.251199e-01","4.194013e-01","1.000000e+00"
"219","1552622_s_at","-4.493728e-01","6.581858e-01","1.000000e+00"
"220","1552625_a_at"," 1.500891e+00","1.529430e-01","1.000000e+00"
"221","1552626_a_at","-2.648238e+00","2.368839e-02","1.000000e+00"
"222","1552627_a_at"," 1.126355e+00","2.741530e-01","1.000000e+00"
"223","1552628_a_at","-1.537789e+00","1.362177e-01","1.000000e+00"
"224","1552629_a_at","-2.887409e-01","7.778315e-01","1.000000e+00"
"225","1552633_at"," 8.421697e-01","4.130300e-01","1.000000e+00"
"226","1552637_at"," 3.078391e+00","6.942642e-03","1.000000e+00"
"227","1552639_at","-2.811907e+00","1.372080e-02","1.000000e+00"
"228","1552641_s_at"," 1.130559e+00","2.747517e-01","1.000000e+00"
"229","1552646_at","-4.428100e-01","6.651564e-01","1.000000e+00"
"230","1552648_a_at"," 7.215812e-02","9.434211e-01","1.000000e+00"
"231","1552649_a_at"," 2.523552e+00","1.943185e-02","1.000000e+00"
"232","1552652_at"," 6.687883e-01","5.149488e-01","1.000000e+00"
"233","1552656_s_at"," 7.182140e-01","4.850116e-01","1.000000e+00"
"234","1552658_a_at","-3.450348e+00","5.914815e-03","1.000000e+00"
"235","1552660_a_at"," 1.271419e+00","2.189524e-01","1.000000e+00"
"236","1552661_at","-2.094991e+00","5.405993e-02","1.000000e+00"
"237","1552662_a_at"," 8.186926e-01","4.214006e-01","1.000000e+00"
"238","1552664_at","-1.006239e-01","9.207012e-01","1.000000e+00"
"239","1552665_at","-5.639405e-02","9.556688e-01","1.000000e+00"
"240","1552666_a_at"," 1.587995e+00","1.289244e-01","1.000000e+00"
"241","1552667_a_at","-6.272633e+00","8.374081e-06","3.563255e-01"
"242","1552669_at"," 7.725259e-02","9.395314e-01","1.000000e+00"
"243","1552670_a_at","-5.059141e+00","1.005124e-04","1.000000e+00"
"244","1552672_a_at"," 2.479989e-01","8.065628e-01","1.000000e+00"
"245","1552673_at"," 2.325881e+00","2.749663e-02","1.000000e+00"
"246","1552674_at","-1.243224e-01","9.025526e-01","1.000000e+00"
"247","1552675_at"," 5.198337e-01","6.112930e-01","1.000000e+00"
"248","1552676_at"," 2.365038e+00","2.847914e-02","1.000000e+00"
"249","1552678_a_at"," 7.470946e-01","4.661064e-01","1.000000e+00"
